worker_id,sleep_at,wake_up_at,income_inequality,income_inequality_factor,husband_is_manly,wife_neglecting_duty,expensive_purchase,market_permission,clothing_purchase_permission,friends_neighborhood,alone_friends,public_transportation,consultation,market_permission_m,clothing_purchase_permission_m,friends_neighborhood_m,alone_friends_m,public_transportation_m,consultation_m,persuade_opinions,daily_activity
2105,9 घंटे: 30 मिनट,6 घंटे: 00 मिनट,['मैं पूरी तरह सहमत हूँ'],['शिक्षा की कमी'],['मैं पूरी तरह असहमत हूँ'],['मैं कुछ हद तक सहमत हूँ'],['ज़्यादातर नहीं'],['हमेशा'],['ज़्यादातर नहीं'],['कभी नहीं'],['कभी नहीं'],['ज़्यादातर नहीं'],['हमेशा'],['कभी नहीं'],['कभी नहीं'],['कभी नहीं'],['हमेशा'],['हमेशा'],['हमेशा'],['हाँ'],"[{'daily_activity': ['तैयार होना/नहाना-धोना'], 'activity_time': '1 घंटे: 30 मिनट'}, {'daily_activity': ['आय अर्जित करने वाला काम/नौकरी'], 'activity_time': '10 घंटे: 00 मिनट'}, {'daily_activity': ['आराम करना/परिवार के साथ समय बिताना'], 'activity_time': '1 घंटे: 00 मिनट'}, {'daily_activity': ['टीवी देखना/व्हाट्सऐप/फोन देखना'], 'activity_time': '30 घंटे: 00 मिनट'}]"
2223,12 घंटे:  मिनट,6 घंटे:  मिनट,['मैं पूरी तरह सहमत हूँ'],['भ्रष्टाचार'],['मैं कुछ हद तक सहमत हूँ'],['मैं पूरी तरह सहमत हूँ'],['ज़्यादातर हाँ'],['हमेशा'],['ज़्यादातर हाँ'],['हमेशा'],['ज़्यादातर हाँ'],['हमेशा'],['ज़्यादातर हाँ'],['हमेशा'],['ज़्यादातर हाँ'],['हमेशा'],['हमेशा'],['हमेशा'],['हमेशा'],['हाँ'],"[{'daily_activity': ['सुबह का नाश्ता'], 'activity_time': ' घंटे: 30 मिनट'}, {'daily_activity': ['अपने खेत पर काम'], 'activity_time': '4 घंटे: 30 मिनट'}, {'daily_activity': ['दोपहर का खाना'], 'activity_time': '2 घंटे: 30 मिनट'}]"
2255,12 घंटे: 00 मिनट,6 घंटे: 00 मिनट,['मैं पूरी तरह सहमत हूँ'],['भ्रष्टाचार'],['मैं पूरी तरह असहमत हूँ'],['मैं पूरी तरह असहमत हूँ'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['ज़्यादातर नहीं'],['ज़्यादातर नहीं'],['ज़्यादातर नहीं'],['ज़्यादातर नहीं'],['कभी नहीं'],['कभी नहीं'],['कभी नहीं'],['ज़्यादातर नहीं'],['ज़्यादातर नहीं'],['हमेशा'],['हमेशा'],['हाँ'],"[{'daily_activity': ['अपने खेत पर काम'], 'activity_time': '6 घंटे: 15 मिनट'}, {'daily_activity': ['रात का खाना'], 'activity_time': '30 घंटे: 00 मिनट'}]"
2262,11 घंटे: 30 मिनट,7 घंटे: 30 मिनट,['मैं पूरी तरह सहमत हूँ'],['शिक्षा की कमी'],['मैं पूरी तरह सहमत हूँ'],['मैं पूरी तरह सहमत हूँ'],['हमेशा'],['हमेशा'],['हमेशा'],['हमेशा'],['हमेशा'],['हमेशा'],['हमेशा'],['हमेशा'],['हमेशा'],['हमेशा'],['हमेशा'],['हमेशा'],['हमेशा'],['हाँ'],"[{'daily_activity': ['घर का काम (खाना बनाना, सफाई करना, पानी भरना, बुजुर्गों का ख्याल रखना इत्यादि)'], 'activity_time': '2 घंटे: 0 मिनट'}, {'daily_activity': ['तैयार होना/नहाना-धोना'], 'activity_time': '1 घंटे: 00 मिनट'}, {'daily_activity': ['सुबह का नाश्ता'], 'activity_time': '0 घंटे: 30 मिनट'}, {'daily_activity': ['अपने व्यवसाय/व्यापार/दुकान पर काम'], 'activity_time': '1 घंटे: 00 मिनट'}, {'daily_activity': ['दोपहर का खाना'], 'activity_time': '30 घंटे: 00 मिनट'}, {'daily_activity': ['आराम करना/परिवार के साथ समय बिताना'], 'activity_time': '1 घंटे: 00 मिनट'}, {'daily_activity': ['टीवी देखना/व्हाट्सऐप/फोन देखना'], 'activity_time': '1 घंटे: 00 मिनट'}, {'daily_activity': ['रात का खाना'], 'activity_time': '30 घंटे: 00 मिनट'}]"
2263,११ घंटे:  मिनट,६ घंटे:  मिनट,"['मैं न सहमत हूँ, न असहमत हूँ']",['भ्रष्टाचार'],['मैं कुछ हद तक सहमत हूँ'],['मैं पूरी तरह सहमत हूँ'],['ज़्यादातर नहीं'],['हमेशा'],['ज़्यादातर हाँ'],['ज़्यादातर नहीं'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['हमेशा'],['ज़्यादातर हाँ'],['ज़्यादातर नहीं'],['हमेशा'],['हमेशा'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['हाँ'],"[{'daily_activity': ['अपने खेत पर काम'], 'activity_time': '२ घंटे:  मिनट'}, {'daily_activity': ['सुबह का नाश्ता'], 'activity_time': ' घंटे: २० मिनट'}, {'daily_activity': ['दोपहर का खाना'], 'activity_time': ' घंटे: ३० मिनट'}]"
2270,11 घंटे:  मिनट,6 घंटे:  मिनट,['मैं पूरी तरह सहमत हूँ'],['शिक्षा की कमी'],['मैं कुछ हद तक सहमत हूँ'],['मैं पूरी तरह सहमत हूँ'],['हमेशा'],['हमेशा'],['ज़्यादातर हाँ'],['हमेशा'],['हमेशा'],['ज़्यादातर हाँ'],['हमेशा'],['ज़्यादातर हाँ'],['हमेशा'],['ज़्यादातर हाँ'],['हमेशा'],['ज़्यादातर हाँ'],['हमेशा'],['हाँ'],"[{'daily_activity': ['सुबह का नाश्ता'], 'activity_time': '1 घंटे:  मिनट'}, {'daily_activity': ['अपने खेत पर काम'], 'activity_time': '5 घंटे:  मिनट'}, {'daily_activity': ['दोपहर का खाना'], 'activity_time': '1 घंटे:  मिनट'}, {'daily_activity': ['आराम करना/परिवार के साथ समय बिताना'], 'activity_time': '2 घंटे:  मिनट'}, {'daily_activity': ['टीवी देखना/व्हाट्सऐप/फोन देखना'], 'activity_time': '2 घंटे:  मिनट'}]"
2281,12 घंटे:  मिनट,8 घंटे:  मिनट,['मैं कुछ हद तक सहमत हूँ'],['शिक्षा की कमी'],['मैं पूरी तरह सहमत हूँ'],['मैं कुछ हद तक असहमत हूँ'],['ज़्यादातर नहीं'],['ज़्यादातर नहीं'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['हमेशा'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['हाँ'],"[{'daily_activity': ['सुबह का नाश्ता'], 'activity_time': '1 घंटे:  मिनट'}, {'daily_activity': ['अपने खेत पर काम'], 'activity_time': '3 घंटे:  मिनट'}, {'daily_activity': ['दोपहर का खाना'], 'activity_time': '1 घंटे:  मिनट'}]"
2318,9 घंटे: 30 मिनट,5 घंटे: 00 मिनट,['मैं पूरी तरह सहमत हूँ'],['शिक्षा की कमी'],['मैं कुछ हद तक सहमत हूँ'],['मैं पूरी तरह सहमत हूँ'],['हमेशा'],['ज़्यादातर हाँ'],['हमेशा'],['कभी नहीं'],['कभी नहीं'],['हमेशा'],['हमेशा'],['हमेशा'],['हमेशा'],['कभी नहीं'],['कभी नहीं'],['हमेशा'],['हमेशा'],['हाँ'],
2337,11:00 baje घंटे:  मिनट,5:00 baje घंटे:  मिनट,['मैं कुछ हद तक सहमत हूँ'],['कानूनों की कमी'],"['मैं न सहमत हूँ, न असहमत हूँ']","['मैं न सहमत हूँ, न असहमत हूँ']",['हमेशा'],['हमेशा'],['ज़्यादातर हाँ'],['हमेशा'],['हमेशा'],['कभी नहीं'],['हमेशा'],['हमेशा'],['ज़्यादातर नहीं'],['हमेशा'],['कभी नहीं'],['कभी नहीं'],['हमेशा'],['हाँ'],"[{'daily_activity': ['अपने व्यवसाय/व्यापार/दुकान पर काम'], 'activity_time': '3 घंटे:  मिनट'}, {'daily_activity': ['दोपहर का खाना'], 'activity_time': 'x6 घंटे:  मिनट'}, {'daily_activity': ['टीवी देखना/व्हाट्सऐप/फोन देखना'], 'activity_time': 'fu घंटे:  मिनट'}]"
2342,१२ घंटे:  मिनट,७ घंटे:  मिनट,['मैं कुछ हद तक असहमत हूँ'],['भ्रष्टाचार'],['मैं पूरी तरह सहमत हूँ'],['मैं कुछ हद तक असहमत हूँ'],['ज़्यादातर हाँ'],['ज़्यादातर नहीं'],['हमेशा'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['ज़्यादातर नहीं'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['ज़्यादातर नहीं'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['ज़्यादातर नहीं'],['ज़्यादातर हाँ'],['हाँ'],"[{'daily_activity': ['अपने खेत पर काम'], 'activity_time': '३ घंटे:  मिनट'}, {'daily_activity': ['सुबह का नाश्ता'], 'activity_time': ' घंटे: २० मिनट'}, {'daily_activity': ['अपने खेत पर काम'], 'activity_time': '२ घंटे:  मिनट'}, {'daily_activity': ['दोपहर का खाना'], 'activity_time': ' घंटे: ३० मिनट'}, {'daily_activity': ['रात का खाना'], 'activity_time': ' घंटे: २० मिनट'}]"
